,Date,Predicted cases
0,10/08/2020,36194764
1,10/09/2020,36368734
2,10/10/2020,36522089
3,10/11/2020,36657356
4,10/12/2020,36776741
5,10/13/2020,36882159
6,10/14/2020,36975284
7,10/15/2020,37057584
8,10/16/2020,37130335
9,10/17/2020,37194663
10,10/18/2020,37251571
