,Date,Predicted cases
0,08/12/2020,20330351
1,08/13/2020,20646984
2,08/14/2020,20975392
3,08/15/2020,21316930
4,08/16/2020,21672212
5,08/17/2020,22042656
6,08/18/2020,22430063
7,08/19/2020,22836482
8,08/20/2020,23264241
9,08/21/2020,23716001
10,08/22/2020,24194834
