,Date,Predicted cases,Predicted day newCases
0,12/19/2020,76289042,0
1,12/20/2020,76712035,422993
2,12/21/2020,77083883,371848
3,12/22/2020,77390479,306596
4,12/23/2020,77641654,251175
5,12/24/2020,77847549,205895
6,12/25/2020,78016394,168845
7,12/26/2020,78154918,138524
8,12/27/2020,78268597,113679
9,12/28/2020,78361914,93317
10,12/29/2020,78438515,76601
