,Date,Predicted cases
0,07/30/2020,17005983
1,07/31/2020,17274916
2,08/01/2020,17546337
3,08/02/2020,17819858
4,08/03/2020,18096188
5,08/04/2020,18376063
6,08/05/2020,18660245
7,08/06/2020,18948549
8,08/07/2020,19240885
9,08/08/2020,19537108
10,08/09/2020,19837814
