,Date,Predicted cases,Predicted day newCases
0,01/25/2021,99722272,0
1,01/26/2021,100567693,845421
2,01/27/2021,101437258,869565
3,01/28/2021,102332501,895243
4,01/29/2021,103255086,922585
5,01/30/2021,104206820,951734
6,01/31/2021,105189664,982844
7,02/01/2021,106205722,1016058
8,02/02/2021,107257289,1051567
9,02/03/2021,108346873,1089584
10,02/04/2021,109477185,1130312
