,Date,Predicted cases,Predicted day newCases
0,10/28/2020,44052388,0
1,10/29/2020,44586943,534555
2,10/30/2020,45144033,557090
3,10/31/2020,45725946,581913
4,11/01/2020,46334915,608969
5,11/02/2020,46972724,637809
6,11/03/2020,47642431,669707
7,11/04/2020,48347770,705339
8,11/05/2020,49092830,745060
9,11/06/2020,49882249,789419
10,11/07/2020,50721341,839092
