Date,Predicted cases
7/1/2020,10446353
7/2/2020,10593805
7/3/2020,10740883
7/4/2020,10888044
7/5/2020,11035739
7/6/2020,11184430
7/7/2020,11334597
7/8/2020,11486698
7/9/2020,11641218
7/10/2020,11798695
7/11/2020,11959667
