Location,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality
Worldwide,935817,132.81,193700,47208,0.050445760228762675
New Zealand,723,161.31,92,1,0.0013831258644536654
United States,216154,660.85,8878,5115,0.023663684225135782
Italy,110574,1750.55,16847,13155,0.11897010147050843
Spain,104118,2101.26,22647,9387,0.09015732150060508
China,81554,59.38,76238,3312,0.04061112882262059
Germany,77981,949.4,11722,931,0.01193880560649389
France,56325,833.63,7882,4025,0.07146027518863737
Iran,47593,587.62,15473,3036,0.06379089361880949
United Kingdom,29474,454.19,135,2352,0.07979914500916062
Switzerland,17785,2621.22,4013,488,0.027438852965982568
Turkey,15679,187.31,333,277,0.017666943044837045
Belgium,13964,1354.78,2132,828,0.059295330850759095
Netherlands,13614,836.03,0,1173,0.08616130453944469
Austria,10711,1366.9,1436,146,0.013630846793016524
South Korea,9976,195.46,5828,169,0.016940657578187652
Canada,9713,281.11,1540,111,0.011427983115412333
Portugal,8251,772.8,43,187,0.02266391952490607
Brazil,6836,33.16,127,240,0.03510825043885313
Israel,6092,534.24,224,25,0.0041037426132632965
Australia,5108,223.16,422,23,0.004502740798747063
Sweden,5009,498.32,103,259,0.0517069275304452
Norway,4877,915.2,0,44,0.009021939717039164
Czechia,3508,329.4,61,39,0.011117445838084378
Ireland,3447,659.94,5,85,0.02465912387583406
Denmark,3107,559.92,894,104,0.03347280334728033
Chile,3031,173.41,234,16,0.005278785879247773
Malaysia,2908,87.51,645,45,0.015474552957359009
Russia,2777,19.4,190,24,0.008642419877565718
Ecuador,2748,165.99,58,93,0.03384279475982533
Poland,2554,68.7,35,43,0.016836335160532498
Romania,2460,114.6,252,92,0.03739837398373984
Luxembourg,2319,2896.63,80,29,0.01250539025442001
Philippines,2311,22.17,50,96,0.04154045867589788
Japan,2178,17.18,472,57,0.026170798898071626
Pakistan,2110,10.5,82,26,0.012322274881516588
India,1834,1.45,143,41,0.022355507088331516
Thailand,1771,26.44,416,12,0.006775832862789385
Saudi Arabia,1720,60.83,264,16,0.009302325581395349
Indonesia,1677,6.44,103,157,0.0936195587358378
Finland,1441,265.55,0,17,0.01179736294240111
Greece,1415,131.28,52,50,0.0353356890459364
South Africa,1380,24.88,31,5,0.0036231884057971015
Peru,1323,42.2,447,47,0.03552532123960695
Panama,1317,357.38,9,32,0.024297646165527716
Dominican Republic,1284,121.17,9,57,0.04439252336448598
Iceland,1220,3609.58,236,2,0.001639344262295082
Mexico,1215,9.64,35,29,0.023868312757201648
Colombia,1065,22.53,39,17,0.01596244131455399
Serbia,1060,131.44,42,28,0.026415094339622643
Argentina,1054,23.2,240,27,0.025616698292220113
Singapore,1000,213.77,245,4,0.004
Croatia,963,205.5,73,6,0.006230529595015576
Algeria,847,20.45,61,58,0.06847697756788666
Slovenia,841,479.64,10,15,0.0178359096313912
Qatar,835,361.39,71,2,0.0023952095808383233
United Arab Emirates,814,155.08,61,8,0.009828009828009828
Ukraine,794,18.52,13,20,0.02518891687657431
Egypt,779,7.77,179,52,0.06675224646983312
Estonia,779,608.89,33,5,0.006418485237483954
Hong Kong,765,74.42,147,4,0.00522875816993464
Iraq,728,17.82,182,52,0.07142857142857142
Morocco,654,19.47,29,39,0.05963302752293578
Lithuania,581,194.77,7,8,0.013769363166953529
Armenia,571,227.13,31,3,0.005253940455341506
Bahrain,569,406.72,316,4,0.007029876977152899
Hungary,525,52.46,40,20,0.0380952380952381
Lebanon,479,77.15,43,14,0.029227557411273485
Bosnia and Herzegovina,459,140.12,19,13,0.02832244008714597
Latvia,446,237.62,1,0,0.0
Moldova,423,107.73,23,5,0.01182033096926714
Tunisia,423,37.58,5,12,0.028368794326241134
Bulgaria,422,63.27,20,9,0.02132701421800948
Slovakia,400,66.67,7,1,0.0025
Andorra,390,5119.66,11,14,0.035897435897435895
Kazakhstan,386,19.84,26,3,0.007772020725388601
Costa Rica,375,74.4,4,2,0.005333333333333333
Azerbaijan,359,34.18,26,5,0.013927576601671309
North Macedonia,354,170.43,17,10,0.02824858757062147
Uruguay,350,107.69,62,2,0.005714285714285714
Taiwan,329,13.79,45,5,0.015197568389057751
Kuwait,317,112.08,80,0,0.0
Cyprus,315,254.95,18,9,0.02857142857142857
Burkina Faso,282,14.56,46,16,0.05673758865248227
Réunion,281,327.96,6,0,0.0
Jordan,278,31.67,36,5,0.017985611510791366
Albania,259,86.27,67,15,0.05791505791505792
Afghanistan,237,7.06,5,4,0.016877637130801686
San Marino,236,7077.74,13,26,0.11016949152542373
Cameroon,233,9.56,10,6,0.02575107296137339
Vietnam,218,2.23,63,0,0.0
Cuba,212,19.03,12,6,0.02830188679245283
Oman,210,49.89,34,1,0.004761904761904762
Ghana,195,6.8,3,5,0.02564102564102564
Côte d'Ivoire,190,8.0,9,1,0.005263157894736842
Senegal,190,12.75,45,1,0.005263157894736842
Malta,188,444.54,2,0,0.0
Uzbekistan,181,6.69,12,2,0.011049723756906077
Nigeria,174,0.89,9,2,0.011494252873563218
Faroe Islands,173,3414.25,75,0,0.0
Honduras,172,18.74,3,10,0.05813953488372093
Belarus,163,16.9,47,2,0.012269938650306749
Mauritius,161,118.32,0,6,0.037267080745341616
Sri Lanka,146,6.51,21,2,0.0136986301369863
Venezuela,143,4.53,41,3,0.02097902097902098
Palestine,134,26.52,18,1,0.007462686567164179
Brunei,131,380.22,52,1,0.007633587786259542
Martinique,131,337.53,27,3,0.022900763358778626
Guadeloupe,125,307.31,22,6,0.048
Kosovo,125,72.43,1,1,0.008
Montenegro,120,200.38,0,2,0.016666666666666666
Bolivia,117,10.55,0,7,0.05982905982905983
Georgia,117,24.7,23,0,0.0
Kyrgyzstan,111,15.27,3,0,0.0
Cambodia,110,7.01,34,0,0.0
Democratic Republic of the Congo,109,1.24,3,9,0.08256880733944955
Mayotte,101,441.46,10,1,0.009900990099009901
Guernsey,91,1434.45,0,1,0.01098901098901099
Trinidad and Tobago,90,73.95,1,5,0.05555555555555555
Rwanda,82,7.19,0,0,0.0
Jersey,81,790.9,0,2,0.024691358024691357
Kenya,81,1.66,3,1,0.012345679012345678
Northern Cyprus,77,236.2,29,2,0.025974025974025976
Paraguay,77,11.09,1,3,0.03896103896103896
Niger,74,4.28,0,5,0.06756756756756757
Liechtenstein,72,696.98,0,0,0.0
Gibraltar,69,3290.89,14,0,0.0
Isle of Man,68,773.29,0,1,0.014705882352941176
Madagascar,57,2.28,0,0,0.0
Aruba,55,510.93,1,0,0.0
Monaco,55,1436.03,2,0,0.0
Bangladesh,54,0.32,25,5,0.09259259259259259
French Guiana,51,178.84,0,0,0.0
Guatemala,46,3.13,12,1,0.021739130434782608
Barbados,45,154.64,0,0,0.0
Jamaica,44,14.68,2,3,0.06818181818181818
Uganda,44,1.21,0,0,0.0
El Salvador,41,6.38,0,2,0.04878048780487805
Macao,41,73.78,10,0,0.0
French Polynesia,37,129.73,1,0,0.0
Togo,36,4.41,10,2,0.05555555555555555
Zambia,36,2.37,0,0,0.0
Djibouti,33,42.8,0,0,0.0
Bermuda,32,446.35,10,0,0.0
Mali,31,1.63,0,3,0.0967741935483871
Guinea,30,2.43,0,0,0.0
Ethiopia,29,0.28,2,0,0.0
Republic of the Congo,22,6.43,0,2,0.09090909090909091
Saint Martin,22,305.84,2,2,0.09090909090909091
The Bahamas,21,63.58,0,1,0.047619047619047616
Tanzania,20,0.36,1,1,0.05
Maldives,19,49.11,13,0,0.0
