Location,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality
Worldwide,2628527,338.04,784986,183424,0.06978204903354616
United States,855255,2595.17,78340,47973,0.05609204272409983
Spain,208389,4424.36,85915,21717,0.10421375408490852
Italy,187327,3109.5,51600,24648,0.13157740208298857
Germany,150648,1811.78,91612,5315,0.03528091975997026
United Kingdom,133495,2009.39,0,18100,0.13558560245702087
France,119151,1776.36,40657,21340,0.1791004691525879
Turkey,98674,1186.63,16477,2376,0.02407929140401727
Iran,85996,1031.98,63113,5391,0.06268896227731523
China,84287,60.12,77207,4642,0.05507373616334666
Russia,57999,395.24,4420,513,0.00884498008586355
Brazil,45757,216.51,24325,2906,0.0635094083965295
Belgium,41889,3634.79,9434,6262,0.14949031965432452
Canada,40190,1058.21,13986,1974,0.049116695695446626
Netherlands,34842,1996.56,0,4054,0.11635382584237415
Switzerland,28071,3269.18,19900,1508,0.05372092194791778
Portugal,21982,2139.03,1143,785,0.035711036302429264
India,21393,15.72,4258,681,0.031832842518580845
Peru,19250,599.1,7027,530,0.027532467532467533
Ireland,16671,3387.38,9233,769,0.046128006718253255
Sweden,16004,1548.76,550,1937,0.12103224193951512
Austria,14917,1675.58,11328,510,0.03418918013005296
Israel,14498,1579.3,5215,189,0.01303628086632639
Saudi Arabia,12772,373.25,1812,114,0.008925775133103664
Japan,11994,95.23,1424,299,0.024929131232282808
Chile,11296,591.19,5386,160,0.014164305949008499
Ecuador,10850,621.54,1262,537,0.049493087557603684
South Korea,10702,206.68,8411,240,0.022425714819659878
Pakistan,10513,47.97,2337,224,0.021306953295919338
Poland,10169,264.96,1513,426,0.04189202478119776
Singapore,10141,1778.0,896,12,0.0011833152549058279
Romania,9710,500.38,2406,508,0.05231719876416066
Mexico,9501,75.06,2627,857,0.09020103147037153
United Arab Emirates,8238,832.93,1546,52,0.006312211701869385
Denmark,7912,1358.81,5087,384,0.04853387259858443
Indonesia,7418,27.79,913,635,0.08560258829873281
Norway,7338,1367.1,0,187,0.025483783047151813
Belarus,7281,773.47,769,58,0.00796593874467793
Qatar,7141,2599.3,689,10,0.0014003640946646128
Czechia,7132,666.92,1989,208,0.029164329781267526
Serbia,7114,1021.57,1025,134,0.018836097835254428
Philippines,6710,61.85,693,446,0.06646795827123696
Australia,6649,259.07,4761,74,0.011129493156865695
Ukraine,6592,157.4,467,174,0.026395631067961164
Malaysia,5532,168.98,3452,93,0.016811279826464208
Dominican Republic,5300,511.67,581,260,0.04905660377358491
Panama,4992,1183.27,255,144,0.028846153846153848
Colombia,4356,88.19,870,206,0.0472910927456382
Finland,4129,746.98,2000,149,0.03608621942358925
Bangladesh,3772,22.4,92,120,0.031813361611876985
Egypt,3659,36.52,935,276,0.07543044547690626
Luxembourg,3654,5952.17,711,80,0.021893814997263273
South Africa,3635,61.85,1055,65,0.017881705639614855
Morocco,3446,96.1,417,149,0.04323853743470691
Argentina,3133,69.72,836,151,0.048196616661346954
