Location,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality
Worldwide,4024737,518,1375854,279313,0.06939906880871967
United States,1343937,4078,201293,79696,0.05930039875381063
Spain,223578,4747,133952,26478,0.11842846791723693
Italy,218268,3623,103031,30395,0.1392554107794088
United Kingdom,215260,3240,0,31587,0.14673882746446157
Russia,209688,1429,34306,1915,0.009132616077219487
Germany,171324,2060,138330,7549,0.044062711587401646
Brazil,156061,738,61685,10656,0.06828099268875631
France,138854,2070,56038,26310,0.18947959727483543
Turkey,137115,1649,89480,3739,0.027269080698683588
Iran,106220,1275,86064,6589,0.062031632460930144
China,82901,59,78120,4633,0.055885936237198584
Canada,67702,1783,31249,4693,0.06931848394434434
Peru,65015,2023,20246,1814,0.02790125355687149
India,62939,46,19358,2109,0.033508635345334374
Belgium,52596,4564,13411,8581,0.16314928891930947
Netherlands,42382,2429,0,5422,0.12793166910480863
Saudi Arabia,37136,1085,10144,239,0.006435803532959931
Mexico,33460,264,17781,3353,0.1002092050209205
Switzerland,30231,3521,26400,1532,0.050676457940524625
Pakistan,29465,134,8023,639,0.021686746987951807
Ecuador,29071,1665,3433,1717,0.05906229575865983
Portugal,27406,2667,2499,1126,0.041085893599941616
Chile,27219,1425,12667,304,0.011168668944487307
Sweden,25921,2508,4971,3220,0.12422360248447205
Singapore,23336,4091,2296,20,0.0008570449091532396
Belarus,22973,2440,6406,131,0.005702346232533844
Ireland,22760,4625,17110,1446,0.06353251318101934
Qatar,21331,7764,2449,13,0.0006094416576813089
United Arab Emirates,17417,1761,4295,185,0.010621806281219498
Israel,16454,1792,11376,247,0.015011547344110854
Japan,15777,125,8127,624,0.03955124548393231
Austria,15775,1772,13928,615,0.038985736925515053
Poland,15651,408,5437,785,0.050156539518241644
Ukraine,15232,364,3060,391,0.025669642857142856
Romania,15131,780,6912,929,0.06139713171634393
Indonesia,14032,53,2698,973,0.06934150513112884
Bangladesh,13770,82,2414,214,0.015541031227305737
South Korea,10874,210,9610,256,0.02354239470296119
Philippines,10794,99,1924,719,0.06661108022975727
Colombia,10495,212,2569,445,0.042401143401619816
Denmark,10319,1772,8093,526,0.05097393158251769
Serbia,10032,1441,2732,213,0.021232057416267942
Dominican Republic,9882,954,2584,385,0.03895972475207448
South Africa,9420,160,3983,186,0.019745222929936305
