Location,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality
Worldwide,1696139,218.13,376200,102669,0.06053100600835191
United States,504780,1531.7,28993,18763,0.03717064859938983
Spain,158273,3360.33,55668,16081,0.1016029265888686
Italy,147577,2449.68,30445,18849,0.12772315469212683
Germany,122215,1469.83,42155,2707,0.022149490651720328
France,90676,1351.84,24932,13197,0.14554016498301645
China,81953,58.45,77525,3339,0.04074286481275853
United Kingdom,73758,1110.22,0,8958,0.12145123240868787
Iran,68192,818.33,35465,4232,0.06206006569685594
Turkey,47029,565.56,2423,1006,0.02139105658210891
Belgium,26667,2313.95,5568,3019,0.11321108486143923
Switzerland,24551,2859.24,11100,1002,0.040813001507066925
Netherlands,23097,1323.53,0,2511,0.10871541758669957
Canada,22148,583.16,0,569,0.025690807296369876
Brazil,19943,94.37,0,1074,0.053853482424910996
Portugal,15472,1505.55,233,435,0.0281153050672182
Austria,13560,1523.15,6064,319,0.023525073746312686
Russia,11917,81.21,795,94,0.007887891247797265
South Korea,10480,202.39,7243,211,0.02013358778625954
Israel,10408,1133.77,1183,95,0.009127594158339738
Sweden,9685,937.25,0,870,0.08982963345379452
Ireland,8089,1643.6,25,287,0.0354802818642601
India,7447,5.47,643,239,0.03209346045387404
Ecuador,7161,410.21,368,297,0.041474654377880185
Chile,6501,340.24,1571,65,0.009998461775111522
Norway,6359,1184.71,0,113,0.017770089636735337
Australia,6204,241.73,3141,56,0.009026434558349452
Poland,5955,155.16,318,181,0.030394626364399664
Peru,5897,183.53,1569,169,0.02865863998643378
Denmark,5819,999.35,1773,247,0.04244715586870596
Czechia,5732,536.0,346,119,0.020760642009769716
Romania,5467,281.73,729,257,0.04700932869946955
Japan,5347,42.45,714,88,0.016457826818776885
Pakistan,4788,21.85,762,71,0.014828738512949038
Malaysia,4346,132.75,1830,70,0.016106764841233318
Philippines,4195,38.67,140,221,0.05268176400476758
Mexico,3844,30.37,633,233,0.06061394380853278
Saudi Arabia,3651,106.7,685,47,0.012873185428649686
Indonesia,3512,13.16,282,306,0.08712984054669703
United Arab Emirates,3360,339.72,418,16,0.004761904761904762
Luxembourg,3223,5250.09,412,54,0.016754576481538937
Serbia,3105,445.88,118,71,0.022866344605475042
Panama,2974,704.94,17,74,0.02488231338264963
Finland,2769,500.94,0,48,0.01733477789815818
Dominican Republic,2620,252.94,98,126,0.048091603053435114
Thailand,2518,37.87,1135,35,0.013899920571882446
Qatar,2512,914.36,227,6,0.0023885350318471337
Colombia,2473,50.07,197,80,0.03234937323089365
Ukraine,2203,52.6,61,69,0.031320926009986386
Singapore,2108,369.59,492,7,0.003320683111954459
Greece,2011,187.51,269,92,0.04574838388861263
South Africa,2003,34.08,410,24,0.011982026959560658
Belarus,1981,210.44,169,19,0.009591115598182737
Argentina,1975,43.95,375,82,0.04151898734177215
Egypt,1794,17.9,384,135,0.07525083612040134
Algeria,1761,40.95,405,256,0.14537194775695628
Iceland,1675,4598.36,751,6,0.003582089552238806
Croatia,1495,366.76,231,21,0.014046822742474917
Morocco,1448,40.38,122,107,0.0738950276243094
Moldova,1438,536.22,56,29,0.020166898470097356
Iraq,1279,32.69,550,70,0.054730258014073496
Estonia,1258,947.03,83,24,0.019077901430842606
Hungary,1190,121.77,112,77,0.06470588235294118
Slovenia,1160,553.95,137,45,0.03879310344827586
New Zealand,1035,208.04,422,4,0.003864734299516908
Lithuania,999,357.62,8,17,0.01701701701701702
Bahrain,998,646.67,551,6,0.006012024048096192
Kuwait,993,224.66,123,1,0.0010070493454179255
Azerbaijan,991,98.44,159,10,0.010090817356205853
Hong Kong,990,131.99,309,4,0.00404040404040404
Armenia,937,316.82,149,11,0.011739594450373533
Bosnia and Herzegovina,901,272.95,129,37,0.041065482796892344
Cameroon,820,30.89,98,12,0.014634146341463415
Kazakhstan,812,43.48,64,10,0.012315270935960592
Slovakia,715,131.04,23,2,0.002797202797202797
North Macedonia,711,342.3,41,32,0.0450070323488045
Tunisia,671,57.24,25,25,0.037257824143070044
Bulgaria,635,90.71,54,25,0.03937007874015748
Uzbekistan,624,18.3,38,3,0.004807692307692308
Latvia,612,320.96,16,2,0.0032679738562091504
Lebanon,609,89.22,67,20,0.03284072249589491
Andorra,601,7750.54,71,26,0.04326123128119801
Cyprus,585,667.88,58,10,0.017094017094017096
Cuba,564,50.31,51,15,0.026595744680851064
Costa Rica,558,110.32,42,3,0.005376344086021506
Afghanistan,521,16.17,32,15,0.028790786948176585
Uruguay,494,140.4,214,7,0.01417004048582996
Oman,484,103.76,109,3,0.006198347107438017
Côte d'Ivoire,480,18.59,54,3,0.00625
Burkina Faso,448,21.47,159,26,0.05803571428571429
Niger,438,19.63,41,11,0.02511415525114155
Bangladesh,424,2.52,33,27,0.06367924528301887
Albania,416,146.17,182,23,0.055288461538461536
Honduras,392,42.8,7,24,0.061224489795918366
Taiwan,382,16.18,91,6,0.015706806282722512
Réunion,382,445.84,40,0,0.0
Ghana,378,12.48,34,6,0.015873015873015872
Jordan,372,34.93,170,7,0.01881720430107527
Malta,350,709.14,13,2,0.005714285714285714
San Marino,344,10246.02,50,34,0.09883720930232558
Mauritius,318,251.19,23,9,0.02830188679245283
Nigeria,305,1.48,58,7,0.022950819672131147
Kyrgyzstan,298,45.61,39,5,0.016778523489932886
