Location,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality
Worldwide,3584174,461.0,1167991,251580,0.07019190474569593
United States,1208674,3668.0,159936,69680,0.05764995358549948
Spain,218011,4629.0,121343,25428,0.1166363165161391
Italy,211938,3518.0,82879,29079,0.13720522039464372
United Kingdom,190584,2869.0,0,28734,0.15076816521848635
Germany,166152,1998.0,127643,6993,0.042087967644084935
Russia,145268,990.0,18095,1356,0.009334471459646998
France,131863,1966.0,51371,25201,0.19111502089289642
Turkey,127659,1535.0,68166,3461,0.02711128866746567
Brazil,108266,512.0,45815,7343,0.06782369349564961
Iran,98647,1184.0,79379,6277,0.06363092643466096
China,84400,60.0,77853,4643,0.055011848341232225
Canada,60772,1600.0,26017,3854,0.06341736325939577
Belgium,50267,4362.0,12378,7924,0.15763821194819663
Peru,47372,1474.0,14427,1344,0.028371189732331336
India,46433,34.0,12727,1568,0.033769086640966554
Netherlands,40770,2336.0,0,5082,0.1246504782928624
Ecuador,31881,1826.0,3433,1569,0.04921426555001412
Switzerland,29981,3492.0,25200,1477,0.0492645342049965
Saudi Arabia,28656,837.0,4474,191,0.006665270798436628
Portugal,25524,2484.0,1712,1063,0.041647077260617456
Mexico,23471,185.0,13447,2154,0.0917728260406459
Sweden,22721,2199.0,1543,2769,0.1218696360195414
Ireland,21772,4424.0,13386,1319,0.06058239941208892
Pakistan,21501,98.0,5782,486,0.022603599832565928
Chile,20643,1080.0,10415,270,0.013079494259555298
Singapore,19410,3403.0,1457,18,0.0009273570324574962
Belarus,17489,1858.0,3259,103,0.005889416204471382
Israel,16246,1770.0,10064,235,0.014465099101317247
Qatar,16191,5893.0,1810,12,0.0007411524921252547
Austria,15597,1752.0,13316,600,0.03846893633391037
Japan,15253,121.0,4496,556,0.03645184553858257
United Arab Emirates,14730,1489.0,2966,137,0.009300746775288526
Poland,14006,365.0,4095,698,0.04983578466371555
Romania,13512,696.0,5269,803,0.05942865600947306
Ukraine,12697,303.0,1875,316,0.024887768764275026
Indonesia,11587,43.0,1954,864,0.07456632432898938
South Korea,10804,209.0,9283,254,0.023509811181044057
Bangladesh,10143,60.0,1209,182,0.017943409247757072
Denmark,9670,1661.0,7088,493,0.05098241985522234
Serbia,9557,1372.0,1574,197,0.020613163126504134
Philippines,9485,87.0,1315,623,0.06568265682656826
Dominican Republic,8235,795.0,1771,346,0.04201578627808136
