Location,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality
Worldwide,859032,121.91,178101,42322,0.049267082017899214
New Zealand,647,144.35,82,1,0.0015455950540958269
United States,189445,579.19,7082,4075,0.02151020084985088
Italy,105792,1674.85,15729,12428,0.11747580157289776
Spain,95923,1935.87,19259,8464,0.08823744044702522
China,81554,59.38,76238,3312,0.04061112882262059
Germany,72004,876.63,7632,800,0.011110493861452141
France,51487,762.02,7882,3516,0.06828908268106512
Iran,44606,550.74,14656,2898,0.06496883827287808
United Kingdom,25150,387.56,135,1808,0.07188866799204771
Switzerland,16597,2446.13,1823,432,0.026028800385611856
Turkey,13531,161.65,243,214,0.015815534698100656
Belgium,12775,1239.42,1696,705,0.05518590998043053
Netherlands,12595,773.46,0,1039,0.08249305279872965
Austria,10088,1287.39,1095,128,0.012688342585249802
South Korea,9887,193.71,5567,165,0.01668858096490341
Canada,8579,248.29,1242,101,0.01177293390838093
Portugal,7443,697.12,43,160,0.02149670831653903
Brazil,5717,27.73,127,201,0.035158299807591394
Israel,5591,490.3,224,21,0.00375603648721159
Australia,4862,212.42,337,21,0.0043192102015631425
Norway,4644,871.48,0,39,0.008397932816537468
Sweden,4525,450.16,93,198,0.043756906077348064
Czechia,3257,305.83,45,31,0.009517961314092724
Ireland,2910,557.13,5,54,0.018556701030927835
Denmark,2860,515.41,0,90,0.03146853146853147
Malaysia,2766,83.24,537,43,0.01554591467823572
Romania,2460,114.6,252,85,0.034552845528455285
Chile,2449,140.11,156,8,0.0032666394446712946
Poland,2347,63.13,35,35,0.014912654452492544
Russia,2337,16.32,121,17,0.007274283269148481
Philippines,2311,22.17,50,96,0.04154045867589788
Luxembourg,2178,2720.51,80,23,0.010560146923783287
Ecuador,1966,118.75,3,62,0.03153611393692777
Japan,1953,15.4,408,56,0.02867383512544803
Pakistan,1914,9.52,58,26,0.013584117032392894
Thailand,1771,26.44,416,12,0.006775832862789385
Indonesia,1677,6.44,103,157,0.0936195587358378
India,1637,1.29,133,38,0.023213194868662187
Saudi Arabia,1563,55.28,165,10,0.006397952655150352
Finland,1379,254.12,0,17,0.012327773749093546
South Africa,1353,24.39,31,5,0.003695491500369549
Greece,1314,121.91,52,49,0.03729071537290715
Panama,1181,320.47,9,30,0.02540220152413209
Iceland,1135,3358.1,198,2,0.001762114537444934
Mexico,1094,8.68,35,28,0.025594149908592323
Peru,1065,33.97,394,30,0.028169014084507043
Dominican Republic,1019,96.16,5,51,0.050049067713444556
Argentina,966,21.26,240,26,0.026915113871635612
Singapore,926,197.95,240,3,0.0032397408207343412
Colombia,906,19.17,31,16,0.017660044150110375
Serbia,900,111.6,42,23,0.025555555555555557
Croatia,867,185.01,67,6,0.006920415224913495
Slovenia,841,479.64,10,15,0.0178359096313912
Estonia,745,582.31,26,4,0.005369127516778523
Algeria,716,17.28,46,44,0.061452513966480445
Hong Kong,714,69.46,128,4,0.0056022408963585435
Egypt,710,7.09,157,46,0.0647887323943662
Qatar,693,299.93,51,1,0.001443001443001443
Ukraine,669,15.6,10,17,0.025411061285500747
United Arab Emirates,664,126.5,61,6,0.009036144578313253
Iraq,630,15.42,152,46,0.07301587301587302
Morocco,617,18.36,24,36,0.05834683954619125
Lithuania,581,194.77,7,8,0.013769363166953529
Armenia,571,227.13,30,3,0.005253940455341506
Bahrain,567,405.29,295,4,0.007054673721340388
Hungary,492,49.16,37,16,0.032520325203252036
Lebanon,463,74.57,37,12,0.02591792656587473
Bosnia and Herzegovina,420,128.22,17,13,0.030952380952380953
Bulgaria,399,59.82,17,8,0.020050125313283207
Latvia,398,212.04,1,0,0.0
Tunisia,394,35.0,3,10,0.025380710659898477
Andorra,376,4935.87,10,12,0.031914893617021274
Slovakia,363,60.5,7,1,0.0027548209366391185
Costa Rica,347,68.85,4,2,0.005763688760806916
Kazakhstan,336,17.27,22,2,0.005952380952380952
