Location,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality
Worldwide,1015403,144.1,210579,53030,0.052225569552187656
New Zealand,772,172.24,103,1,0.0012953367875647669
United States,244826,748.51,10403,6059,0.024748188509390343
Italy,115242,1824.45,18278,13915,0.12074590860970827
Spain,112065,2261.64,26743,10348,0.09233926738946148
Germany,84789,1032.29,13597,1109,0.013079526825413674
China,81620,59.43,76571,3322,0.040700808625336926
France,58441,864.94,10935,5380,0.0920586574493934
Iran,50468,623.12,16711,3160,0.06261393358167552
United Kingdom,33718,519.59,191,2921,0.08663028649386084
Switzerland,18823,2774.21,4846,541,0.028741433352813046
Turkey,18135,216.65,415,356,0.019630548662806727
Belgium,15348,1489.05,2495,1011,0.06587177482408131
Netherlands,14697,902.54,0,1339,0.09110702864530176
Canada,11268,326.11,1971,138,0.012247071352502662
Austria,11129,1420.24,1749,158,0.014197142600413335
South Korea,9976,195.46,5828,169,0.016940657578187652
Portugal,9034,846.13,68,209,0.02313482399822891
Brazil,8066,39.13,127,327,0.04054054054054054
Israel,6808,597.03,241,33,0.004847238542890717
Sweden,5568,553.93,103,308,0.05531609195402299
Australia,5315,232.21,422,27,0.005079962370649106
Norway,5142,964.93,0,50,0.009723842862699339
Czechia,3858,362.26,67,44,0.011404872991187144
Ireland,3849,736.91,10,98,0.025461158742530528
Russia,3548,24.78,235,30,0.008455467869222097
Chile,3404,194.75,373,18,0.005287896592244419
Denmark,3386,610.2,1089,123,0.036326048434731244
Ecuador,3163,191.06,65,120,0.0379386658235852
Malaysia,3116,93.77,767,50,0.016046213093709884
Poland,2946,79.24,56,57,0.019348268839103868
Romania,2738,127.56,267,115,0.04200146092037984
Philippines,2633,25.26,51,107,0.04063805545005697
Japan,2556,20.16,472,63,0.02464788732394366
Luxembourg,2487,3106.48,80,30,0.012062726176115802
Pakistan,2386,11.87,107,33,0.013830678960603521
India,2069,1.64,156,53,0.025616239729337846
Saudi Arabia,1885,66.67,328,21,0.011140583554376658
Thailand,1875,28.0,505,15,0.008
Indonesia,1790,6.87,112,170,0.09497206703910614
Finland,1513,278.82,0,17,0.011235955056179775
South Africa,1462,26.36,31,5,0.003419972640218878
Greece,1415,131.28,53,53,0.03745583038869258
Peru,1414,45.11,537,55,0.038896746817538894
Dominican Republic,1380,130.23,16,60,0.043478260869565216
Mexico,1378,10.94,35,37,0.026850507982583455
Panama,1317,357.38,9,32,0.024297646165527716
Iceland,1220,3609.58,236,2,0.001639344262295082
Serbia,1171,145.2,54,31,0.026473099914602904
Colombia,1161,24.57,55,19,0.01636520241171404
Argentina,1133,24.93,240,32,0.02824360105913504
Singapore,1049,224.24,266,4,0.0038131553860819827
United Arab Emirates,1024,195.09,96,8,0.0078125
Croatia,1011,215.74,88,7,0.006923837784371909
Algeria,986,23.8,61,86,0.0872210953346856
Slovenia,897,511.58,10,16,0.017837235228539576
Ukraine,897,20.92,19,22,0.024526198439241916
Estonia,858,670.64,33,11,0.01282051282051282
Egypt,850,8.48,179,52,0.0611764705882353
Qatar,835,361.39,71,2,0.0023952095808383233
Hong Kong,802,78.02,154,4,0.004987531172069825
Iraq,772,18.9,202,54,0.06994818652849741
Morocco,708,21.07,31,44,0.062146892655367235
Armenia,663,263.73,31,4,0.006033182503770739
Lithuania,649,217.56,7,8,0.012326656394453005
