Location,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality
Worldwide,3784085,487,1255685,264679,0.06994531042510937
United States,1285451,3901,173479,76348,0.059393940336893436
Spain,221447,4702,128511,26070,0.11772568605580568
Italy,215858,3583,96276,29958,0.13878568318060946
United Kingdom,206715,3112,0,30615,0.14810245990856977
Russia,177160,1207,23803,1625,0.009172499435538497
Germany,169730,2041,135918,7392,0.04355152300712897
France,137779,2054,55027,25897,0.18796042938328772
Turkey,133721,1608,82984,3641,0.02722833361999985
Brazil,132367,626,51370,9054,0.06840073432199868
Iran,103135,1238,82744,6486,0.06288844718087944
China,82885,59,77957,4633,0.055896724377149064
Canada,64922,1709,29247,4408,0.0678968608484027
Peru,58526,1821,18388,1627,0.027799610429552677
India,52952,39,15267,1783,0.03367200483456716
Belgium,51420,4462,12980,8415,0.16365227537922988
Netherlands,41774,2394,0,5288,0.1265859146837746
Saudi Arabia,33731,986,7798,219,0.006492543950668525
Ecuador,30298,1736,3433,1654,0.05459106211631131
Switzerland,30126,3509,25900,1518,0.05038836885082653
Mexico,27634,218,17781,2704,0.09785047405370197
Portugal,26715,2600,2258,1105,0.0413625304136253
Pakistan,24644,112,6464,585,0.023738029540658984
Sweden,24623,2383,4074,3040,0.12346180400438614
Chile,24581,1286,11664,285,0.011594320816891095
Ireland,22385,4548,13386,1403,0.06267589903953541
Singapore,20939,3671,1712,20,0.0009551554515497397
Belarus,20168,2142,5067,116,0.005751685838952796
Qatar,18890,6876,2286,12,0.0006352567496029645
Israel,16381,1784,10873,240,0.014651120200231975
United Arab Emirates,16240,1642,3572,165,0.010160098522167487
Austria,15673,1760,13698,609,0.038856632425189816
Japan,15477,123,4918,577,0.03728112683336564
Poland,15047,392,4862,755,0.05017611484016748
Romania,14499,747,6144,876,0.060417959859300645
Ukraine,13691,327,2396,340,0.02483383244467168
Indonesia,12776,48,2381,930,0.07279273638071383
Bangladesh,12425,74,1910,199,0.016016096579476863
South Korea,10810,209,9419,256,0.02368177613320999
Philippines,10343,95,1618,685,0.06622836701150536
Denmark,10083,1732,7711,514,0.05097689179807597
Serbia,9848,1414,2160,206,0.02091795288383428
Dominican Republic,9095,878,2064,373,0.041011544804837825
Colombia,8959,181,2148,397,0.044312981359526736
South Africa,8232,140,3153,161,0.0195578231292517
Norway,8015,1493,7114,217,0.027074235807860263
Czechia,8002,748,4369,269,0.03361659585103724
Egypt,7981,80,1887,482,0.06039343440671595
Panama,7731,1833,823,218,0.02819816323890829
Australia,6815,266,6031,97,0.014233308877476156
Kuwait,6567,1486,2381,44,0.006700167504187605
Malaysia,6467,198,4776,107,0.01654553888974795
Finland,5673,1026,3500,255,0.0449497620306716
Morocco,5548,155,2179,183,0.03298485940879596
Argentina,5195,116,1511,273,0.05255052935514918
Algeria,5182,121,2323,483,0.0932072558857584
Moldova,4605,1717,1747,145,0.031487513572204126
Kazakhstan,4578,245,1518,30,0.00655307994757536
Bahrain,4199,2721,2000,8,0.0019052155275065491
Luxembourg,3859,6286,3505,100,0.025913449080072558
Afghanistan,3563,111,468,106,0.029750210496772383
Hungary,3150,322,801,383,0.12158730158730159
Nigeria,3145,15,534,103,0.032750397456279806
Ghana,3091,102,303,18,0.005823358136525397
Thailand,2992,45,2761,55,0.01838235294117647
Oman,2958,634,960,15,0.005070993914807302
Armenia,2884,975,1185,42,0.014563106796116505
Greece,2678,250,1374,148,0.05526512322628827
Iraq,2543,65,1626,102,0.04011010617381046
Uzbekistan,2298,67,1656,10,0.004351610095735422
