Location,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality
Worldwide,4955312,637,1749980,325810,0.06574964401837866
United States,1580345,4795,301227,93622,0.05924149473690871
Russia,308705,2104,85392,2972,0.009627314102460278
Brazil,291579,1380,116683,18859,0.06467886919153985
United Kingdom,248293,3737,0,35704,0.14379785173162352
Spain,232555,4937,150376,27888,0.11992001892025542
Italy,227364,3774,132282,32330,0.1421948945303566
Germany,178395,2145,156802,8233,0.04615039659183273
Turkey,152587,1835,113987,4222,0.02766946070110822
France,143845,2145,63354,28132,0.1955716222322639
Iran,126949,1523,98808,7183,0.05658177693404438
India,106750,78,42298,3303,0.030941451990632318
Peru,104020,3237,41968,3024,0.029071332436069987
Mainland China,82965,59,78244,4634,0.05585487856324956
Canada,80102,2109,40697,6028,0.0752540510848668
Saudi Arabia,62545,1828,33478,339,0.005420097529778559
Belgium,55983,4858,14847,9150,0.16344247360805958
Mexico,54346,429,37325,5666,0.104257903065543
Chile,53616,2806,22504,544,0.01014622500746046
Pakistan,45898,209,13101,985,0.0214606300928145
Netherlands,44447,2547,0,5748,0.12932256395257272
Qatar,37097,13503,6600,16,0.00043130172251125426
Ecuador,34854,1997,3536,2888,0.08285992999368795
Belarus,32426,3445,11415,179,0.005520261518534509
Sweden,31523,3051,4971,3831,0.12153031120134505
Switzerland,30658,3570,27800,1630,0.05316719942592472
Portugal,29660,2886,6452,1263,0.042582602832097104
Singapore,29364,5148,11207,22,0.0007492167279662172
Bangladesh,26738,159,5207,386,0.014436382676340788
United Arab Emirates,26004,2629,11809,233,0.008960159975388403
Ireland,24315,4941,19470,1571,0.06461032284597985
Poland,19739,514,8183,962,0.04873600486346826
Ukraine,19230,459,5955,564,0.029329173166926677
Indonesia,19189,72,4575,1242,0.06472458179165147
South Africa,18003,306,7950,3139,0.17435982891740265
Kuwait,17568,3975,4885,124,0.007058287795992714
Romania,17387,896,10356,1141,0.06562374187611433
Colombia,16935,343,4050,613,0.03619722468260998
Israel,16667,1816,13504,279,0.016739665206695866
Japan,16433,130,12286,784,0.04770887847623684
Austria,16319,1833,14882,633,0.03878914149151296
